question,contexts,ground_truth,answers
ماذا علم الله لآدم في قوله سبحانه: {وَعَلَّمَ آدَمَ الْأَسْمَاءَ كُلَّهَا}؟,"الخصائص/مجلد1/باب-القول-على-الفصل-بين-الكلام-والقول

سر-صناعة-الاعراب/المجلد2/‌‌باب-اللام

الخصائص/مجلد2/باب-في-إقرار-الألفاظ-على-أوضاعها-الأول،-ما-لم-يَدْعُ-داعٍ-إلى-الترك-والتحول",علم آدم أسماء جميع المخلوقات بجميع اللغات: العربية والفارسية والسريانية والعبرية والرومية وغير ذلك من سائر اللغات.,"في قوله تعالى: {وَعَلَّمَ آدَمَ الْأَسْمَاءَ كُلَّهَا} [البقرة: 31]، علم الله سبحانه وتعالى آدم عليه السلام أسماء الأشياء كلها، أي أسماء المخلوقات والموجودات. وقد اختلف العلماء في كيفية تعليم الله لآدم هذه الأسماء، فقال بعضهم: علمه إياها بالفعل والمشاهدة، وقال آخرون: علمه إياها بالإلهام والوحي.

ويُفهم من الآية الكريمة أن الله سبحانه وتعالى قد منح آدم عليه السلام ميزة خاصة وموهبة فريدة، وهي معرفة أسماء الأشياء والقدرة على التمييز بينها. وهذا العلم كان أساسًا لتفوق آدم على الملائكة، حيث عجزوا عن تسمية الأشياء والإجابة على سؤال الله لهم عن أسماء بعض المخلوقات.

ويُستفاد من هذه الآية الكريمة أيضًا أن العلم والتعليم هما من أهم النعم التي منحها الله للإنسان، وأن الإنسان قادر على التعلم والتطور بفضل هذه النعمة الإلهية. "
كيف نشأت اللغات المختلفة حسب النص؟,"سر-صناعة-الاعراب/المجلد2/‌‌باب-الألف-الساكنة

الخصائص/مجلد2/باب-في-هذه-اللغة-أفي-وقت-واحد-وضعت-أم-تلاحق-تابع-منهابفارط

الخصائص/مجلد1/باب-القول-على-الفصل-بين-الكلام-والقول",ادم ولده تفرقوا في الدنيا وعلق كل منهم بلغة من تلك اللغات فغلبت عليه واضمحل عنه ما سواها لبعد عهدهم بها.,"أما اللغات المختلفة فقد نشأت، والله أعلم، من اختلاف الأصوات المسموعة الدالة على المعاني المطلوبة، وذلك أن الإنسان سمع صوتًا، فعرف به ما شاهده، ثم كثر ذلك منه حتى عرف غيره به، ثم كثر حتى صار التمييز بين الأشياء كلها بهذه الأصوات.

وهذا الرأي مبني على أن الإنسان الأول، وهو آدم عليه السلام، علم أسماء الأشياء كلها، ثم علّمها بنيه، فتوارثوها وتناقلوها حتى انتشرت اللغات المختلفة بين البشر.

ويُقال أيضًا إن اللغات نشأت من الأصوات الطبيعية التي يحدثها الإنسان في حياته اليومية، مثل صوت الرعد، وصوت الماء، وصوت الحيوانات، وغيرها من الأصوات التي استخدمها الإنسان للتعبير عن مشاعره وأفكاره.

وبمرور الزمن، تطورت هذه الأصوات وأصبحت أكثر تعقيدًا وتنوعًا، مما أدى إلى نشوء اللغات المختلفة التي نراها اليوم.

ويجب أن نلاحظ أن هذا الرأي مبني على النظريات القديمة ولا يستند إلى أدلة علمية حديثة. ومع ذلك، يظل السؤال حول نشأة اللغات موضوعًا مثيرًا للاهتمام والبحث في مجال اللغويات. "
ما هو الإعراب؟,"سر-صناعة-الاعراب/المجلد2/‌‌باب-الألف-الساكنة

الخصائص/مجلد2/باب-في-هذه-اللغة-أفي-وقت-واحد-وضعت-أم-تلاحق-تابع-منهابفارط

سر-صناعة-الاعراب/المجلد2/‌‌باب-الألف-الساكنة",هو الإبانة عن المعاني بالألفاظ ألا ترى أنك إذا سمعت أكرم سعيد أباه وشكر سعيدًا أبوه علمت برفع أحدهما ونصب الآخر الفاعل من المفعول ولو كان الكلام شرجًا واحدًا لاستبهم أحدهما من صاحبه. فأما لفظه فإنه مصدر أعربت عن الشيء إذا أوضحت عنه؛ وفلان معرب عما في نفسه أي مبين له، وموضح عنه. وأصل هذا كله قولهم 'العرب ' وذلك لما يعزى إليها من الفصاحة، والإعراب والبيان,"الإعراب في اصطلاح أهل العربية هو تغيير يلحق أواخر الكلمات العربية من غير تأثير العامل فيها، وذلك للدلالة على المعاني المختلفة التي تؤديها في التركيب. وهو يشمل الحركات الثلاث: الفتحة والكسرة والضمة، وكذلك السكون.

أما في سياق النحو والصرف، فالإعراب هو نظام من العلامات التي تظهر على أواخر الكلمات لتوضيح العلاقات النحوية بينها في الجملة. وهو يشمل تحديد الفاعل والمفعول به والمبتدأ والخبر وغيرها من العناصر النحوية.

ويعتبر الإعراب أحد أهم جوانب اللغة العربية، حيث يساعد على فهم النصوص بشكل أعمق ويوضح المعاني المرادة من الجمل والعبارات. "
ما هي اللغة؟,"الخصائص/مجلد1/باب-القول-على-اللغة

الخصائص/مجلد1/باب-القول-على-أصل-اللغة-أإلهام-هي-أم-اصطلاح

الخصائص/مجلد1/باب-القول-على-أصل-اللغة-أإلهام-هي-أم-اصطلاح",أما حدها 'فإنها أصوات' يعبر بها كل قوم عن أغراضهم. هذا حدها.وأما تصريفها ومعرفة حروفها فإنها فعلة من لغوت. أي تكلمت وأصلها لغوة ككرة وقلة وثبة كلها لاماتها واوات لقولهم.,"اللغة أصوات يعبر بها كل قوم عن أغراضهم. هي فعلة من لغوت أي تكلمت. وأصلها لغوة ككرة وقلة وثبة كلها لاماتها واوات لقولهم كروت بالكرة وقلوت بالقلة ولأن ثبة كأنها من مقلوب ثاب يثوب. وقد دللت على ذلك وغيره من نحوه في كتابي في ""سر الصناعة"". وقالوا فيها لغات ولغون ككرات وكرون. وقيل منها لغى يلغى إذا هذى ومصدره اللغا قال:

ورب أسراب حجيج كظم ... عن اللغا ورفث التكلم

وكذلك اللغو قال الله سبحانه وتعالى: {وَإِذَا مَرُّوا بِاللَّغْوِ مَرُّوا كِرَامًا} أي بالباطل وفي الحديث: ""من قال في الجمعة: صه فقد لغا"" أي تكلم. وفي هذا كاف. "
كيف يتم الحكم على الكلمات عندما لا يوجد دليل أو نظير؟,"سر-صناعة-الاعراب/المجلد2/‌‌باب-الواو

سر-صناعة-الاعراب/المجلد2/‌‌باب-الألف-الساكنة

سر-صناعة-الاعراب/المجلد1/‌‌باب-الباء",وأما إن لم يقم الدليل ولم يوجد النظير فإنك تحكم مع عدم النظير. وذلك كقولك في الهمزة والنون من أندلس: إنهما زائدتان، وإن وزن الكلمة بهما 'أنفعُل' وإن كان مثالا لا نظير له. وذلك أن النون لا محالة زائدة؛ لأنه ليس في ذوات الخمسة شيء على 'فعلَلُل' فتكون النون فيه أصلا لوقوعها موقع العين.,"إذا لم يكن للكلمة دليل ولا نظير، أو كان الدليل محتملا، وجب أن يُحكم عليها بالأغلب من أحوال مثلها، وذلك أن من أحوالها أن تكون ثلاثية، وأن تكون أكثر ما تكون مجردة، وأن تكون أكثر ما تكون ساكنة العين، وأن تكون أكثر ما تكون مفتوحة الفاء، وأن تكون أكثر ما تكون مما ماضيها على ""فَعَلَ""، وأن تكون أكثر ما تكون مما مضارعها على ""يَفْعِلُ""، وأن تكون أكثر ما تكون مما عينها واو، وأن تكون أكثر ما تكون مما لامها واو، وأن تكون أكثر ما تكون مما عينها أو لامها حرف حلق، وأن تكون أكثر ما تكون مما هي على مثال ""فَعَلَ""، وأن تكون أكثر ما تكون مما هي على مثال ""فَعِلَ""، وأن تكون أكثر ما تكون مما هي على مثال ""فَعُلَ""، وأن تكون أكثر ما تكون مما هي على مثال ""فَعِلَ""، وأن تكون أكثر ما تكون مما هي على مثال ""فَعُلَ""، وأن تكون أكثر ما تكون مما هي على مثال ""فَعِلَ""، وأن تكون أكثر ما تكون مما هي على مثال ""فَعُلَ""، وأن تكون أكثر ما تكون مما هي على مثال ""فَعِلَ""، وأن تكون أكثر ما تكون مما هي على مثال ""فَعُلَ""، وأن تكون أكثر ما تكون مما هي على مثال ""فَعِلَ""، وأن تكون أكثر ما تكون مما هي على مثال ""فَعُلَ"
ما هما الضربان الذين تُقسم إليهما مقاييس العربية؟,"الخصائص/مجلد1/باب-في-تعارض-السماع-والقياس

الخصائص/مجلد2/باب-في-هذه-اللغة-أفي-وقت-واحد-وضعت-أم-تلاحق-تابع-منهابفارط

الخصائص/مجلد2/‌‌باب-في-نقض-العادة",وهي ضربان: أحدهما معنوي والآخر لفظي. وهذان الضربان وإن عمّا وفشوا في هذه اللغة فإن أقواهما وأوسعهما هو القياس المعنوي.,مقاييس العربية تنقسم إلى ضربين: ضرب يكون في القياس نفسه، وضرب يكون في الأشياء المقيسة. فأما ما يكون في القياس نفسه فهو أن يكون الشيء على صورة ما فيأتي مثله على صورة أخرى، فيوجب تشابه الصورتين تشابه ما فيهما، وإن كانا في أنفسهما غير متشابهين. وأما ما يكون في الأشياء المقيسة فكثير، منه التشبيه، نحو: زيد كالأسد، وهذا كعمرو، ومنه الاستعارة، نحو: زيد أسد، وهذا عمرو، ومنه المجاز، نحو: زيد قائم، وهذا قاعد، ومنه الإضمار، نحو: زيد قام، وهذا قاعد، ومنه التقديم والتأخير، نحو: زيد قام، وهذا قاعد، ومنه الحذف، نحو: زيد قام، وهذا قاعد، ومنه الزيادة، نحو: زيد قام، وهذا قاعد، ومنه التكرار، نحو: زيد قام، وهذا قاعد، ومنه الترخيم، نحو: زيد قام، وهذا قاعد، ومنه التثقيل، نحو: زيد قام، وهذا قاعد، ومنه التخفيف، نحو: زيد قام، وهذا قاعد، ومنه الإمالة، نحو: زيد قام، وهذا قاعد، ومنه الإظهار، نحو: زيد قام، وهذا قاعد، ومنه الإدغام، نحو: زيد قام، وهذا قاعد، ومنه الإظهار، نحو: زيد قام، وهذا قاعد، ومنه الإدغام، نحو: زيد قام، وهذا قاعد، ومنه الإظهار، نحو: زيد قام، وهذا قاعد، ومنه الإدغام، نحو: زيد قام، وهذا قاعد، ومنه الإظهار، نحو: زيد
ما هي الأسباب المانعة من الصرف، وكيف تم تقسيمها؟,"سر-صناعة-الاعراب/المجلد2/‌‌باب-النون

سر-صناعة-الاعراب/المجلد2/‌‌باب-النون

الخصائص/مجلد1/باب-في-الرد-على-من-ادعى-على-العرب-عنايتها-بالألفاظ-وإغفالها-المعاني",ألا ترى أن الأسباب المانعة من الصرف تسعة: واحد منها لفظي وهو شبه الفعل لفظًا، نحو أحمد ويرمع وتنضب وإثمد وأبلم وبقم وإستبرق والثمانية الباقية كلها معنوية كالتعريف والوصف والعدل والتأنيث وغير ذلك.,"الأسباب المانعة من الصرف هي عوارض تدخل على الاسم فتمنع من ظهور التنوين فيه وتجر بالفتحة نيابة عن الكسرة. وتنقسم هذه الأسباب إلى قسمين:

1. أسباب تسعة: وهي:
   أ. العلمية: وهي تمنع الاسم من الصرف إذا كان علمًا.
   ب. الوصفية: تمنع الاسم من الصرف إذا كان وصفًا.
   ج. التأنيث: يمنع الاسم من الصرف إذا كان مؤنثًا.
   د. العجمة: تمنع الاسم من الصرف إذا كان أعجميًا.
   هـ. التركيب: يمنع الاسم من الصرف إذا كان مركبًا.
   و. الزيادة: تمنع الاسم من الصرف إذا كان مزيدًا بالألف والنون.
   ز. العدل: يمنع الاسم من الصرف إذا كان معدولًا.
   ح. الوزن: يمنع الاسم من الصرف إذا كان على وزن خاص بالفعل.
   ط. ألف الإلحاق: تمنع الاسم من الصرف إذا كان ملحقًا بألف الإلحاق.

2. أسباب فرعية: وهي:
   أ. العلمية: تمنع الاسم من الصرف إذا كان علمًا.
   ب. الوصفية: تمنع الاسم من الصرف إذا كان وصفًا.
   ج. التأنيث: يمنع الاسم من الصرف إذا كان مؤنثًا.
   د. العجمة: تمنع الاسم من الصرف إذا كان أعجميًا.
   هـ. التركيب: يمنع الاسم من الصرف إذا كان مركبًا.
   و. الزيادة: تمنع الاسم من الصرف إذا"
كيف تم التعامل مع النصب في الجمع والتثنية؟,"سر-صناعة-الاعراب/المجلد2/‌‌باب-النون

الخصائص/مجلد1/باب-في-مقاييس-العربية

الخصائص/مجلد2/‌‌باب-في-نقض-العادة",ألا ترى أنهم لما أعربوا بالحروف في التثنية والجمع الذي على حده فأعطوا الرفع في التثنية الألف والرفع في الجمع الواو والجر فيهما الياء وبقي النصب لا حرف له فيماز به، جذبوه إلى الجر فحملوه عليه دون الرفع لتلك الأسباب المعروفة هناك فلا حاجة بنا هنا إلى الإطالة بذكرها.,"في الجمع والتثنية، العرب تؤثر التجانس والتشابه وحمل الفرع على الأصل. في التثنية والجمع الذي على حده، أعطوا الرفع الألف والرفع الواو والجر الياء. أما النصب، فلم يكن له حرف يميزه، لذا جذبوه إلى الجر فحملوه عليه دون الرفع. فعلوا ذلك للضرورة ثم لما وصلوا إلى جمع التأنيث، حملوا النصب أيضًا على الجر فقالوا: ""ضربت الهندات"" كما قالوا: ""مررت بالهندات"". هذا يدل على إيثارهم حمل الفرع على الأصل وإن عرى من ضرورة الأصل.

فيما يتعلق بحروف المضارعة، العرب يحذفون الهمزة في ""نكرم"" و""تكرم"" و""يكرم"" لحذفها في ""أكرم"" لتجنب الاستثقال لاجتماع الهمزتين. هذا يدل على اهتمامهم بالتجانس والتشابه بين حروف المضارعة.

في الجملة ""فيها رجل قائمًا""، النصب في ""قائمًا"" ليس اختيارًا بل ضرورة لعدم جواز الرفع أو ضعفه. هذا يشبه ""كرمته أكرمه"" حيث لم ينقض شيء عن موضعه ولم يقدم أو يؤخر.

في الجملة ""ما جاءني إلا زيدًا أحد""، النصب في ""زيدًا"" واجب للضرورة بعد تقديم المستثنى وعدم وجود ما يبدله منه. هذا يشبه ""فيها قائمًا رجل"" حيث كان النصب متأخرًا أضعف الجائزين.

فيما يتعلق بالصحيح كله بالضم في ""أكرمه"" و""أضرُبه""،"
كيف يرتبط القياس اللفظي بالمعنى؟,"الخصائص/مجلد1/باب-في-مقاييس-العربية

الخصائص/مجلد1/باب-في-مقاييس-العربية

الخصائص/مجلد1/باب-في-التقديرات-المختلفين-لمعنيين-مختلفين",واعلم أن القياس اللفظي إذا تأملته لم تجده عاريًا من اشتمال المعنى عليه؛ ألا ترى أنك إذا سئلت عن 'إن' من قوله: ورج الفتى للخير ما إن رأيته … على السن خيرًا لا يزال يزيد فإنك قائل: دخلت على 'ما' -وإن كانت 'ما' ههنا مصدرية- لشبهها لفظًا بما النافية التي تؤكد بإن من قوله: ما إن يكاد يخليهم لوجهتهم … تخالج الأمر إن الأمر مشترك.,"القياس اللفظي في اللغة العربية مرتبط بالمعنى ارتباطًا وثيقًا، حيث إن المعنى هو الأساس الذي يبنى عليه القياس اللفظي. في بعض الأحيان، قد يكون الشبه اللفظي بين كلمتين أو تركيبين هو السبب في إلحاق إحداهما بالأخرى في الحكم. على سبيل المثال، في قول الشاعر:

ورج الفتى للخير ما إن رأيته ... على السن خيرًا لا يزال يزيد

فإن ""إن"" دخلت على ""ما"" المصدرية لشبهها لفظًا بما النافية التي تؤكد بإن من قوله:

ما إن يكاد يخليهم لوجهتهم ... تخالج الأمر إن الأمر مشترك

وشبه اللفظ بينهما يجعل ""ما"" المصدرية كأنها ""ما"" النافية، وهذا الشبه اللفظي هو الذي يسمح بإلحاق ""إن"" بها.

في هذا السياق، يمكن القول إن القياس اللفظي لا ينفصل عن المعنى، بل هو مرتبط به ارتباطًا وثيقًا. فالعوامل اللفظية في اللغة العربية، مثل الإعراب والبناء، تعود في الحقيقة إلى أنها معنوية، كما يوضح ابن جني في قوله: ""فإنما قال النحويون: عامل لفظي وعامل معنوي ليروك أن بعض العمل يأتي مسببًا عن لفظ يصحبه كمررت بزيد وليت عمرًا قائم وبعضه يأتي عاريًا من مصاحبة لفظ يتعلق به كرفع المبتدأ بالابتداء، ورفع الفعل لوقوعه موقع الاسم؛ هذا ظاهر الأمر، وعليه صفحة القول.""

إذاً، القياس اللفظي في اللغة العربية مرتبط بالمعنى ارتباطًا وثيقًا"
كيف يتم حذف الجملة في اللغة العربية؟,"الخصائص/مجلد2/‌‌باب-في-شجاعة-العربية

الخصائص/مجلد2/‌‌باب-في-شجاعة-العربية

الخصائص/مجلد2/‌‌باب-في-زيادة-الحرف-عِوضًا-من-آخر-محذوف",فأمَّا الجملة فنحو قولهم في القسم: والله لا فعلت، وتالله لقد فعلت. وأصله: أقسم بالله، فحذف الفعل والفاعل وبقيت الحال -من الجار والجواب- دليلًا على الجملة المحذوفة.,"حذف الجملة في اللغة العربية يكون على ضربين:

1. أن تحذف الجملة والفاعل فيها:
   - مثال: زيدًا ضربته؛ لأنك أردت: ضربت زيدًا، فلمَّا أضمرت ""ضربت"" فسَّرته بقولك: ضربته.
   - مثال آخر: أزيدًا مررت به؛ حيث تريد: مررت بأزيدٍ مررت به.
   - مثال ثالث: المرء مقتول بما قَتَل به، إن سيفًا فسيف، وإن خنجرًا فخنجر، أي: إن كان الذي قَتَل به سيفًا فالذي يُقتل به سيف.

2. أن تحذف الجملة والفعل فيها:
   - مثال: أبا خراشة أما أنت ذا نفر … فإن قومي لم تأكلهم الضبع1
   - أي: لأن كنت ذا نفر قويت وشدّدت والضبع هنا السنة الشديدة.

في كلا الحالتين، يتم حذف الجملة والفعل أو الجملة والفاعل لتوضيح المعنى أو لأسباب بلاغية. "
